sos_precinct_id,party,HD,total,pct,eday,mail,early
,Kristian Carranza,,729,48.31%,97,31,601
BEXAR 4129,4129 BS 108,118,,,,,
,,,,,,,
,John Lujan III,,61,72.62%,10,2,49
,Kristian Carranza,,23,27.38%,5,1,17
BEXAR 4133,4133 BS 109,118,,,,,
,,,,,,,
,John Lujan III,,13,92.86%,3,0,10
,Kristian Carranza,,1,7.14%,0,0,1
BEXAR 4136,4136 BS 99,118,,,,,
,,,,,,,
,John Lujan III,,1559,51.55%,318,38,1203
,Kristian Carranza,,1465,48.45%,289,37,1139
BEXAR 4137,4137 BS 108,118,,,,,
,,,,,,,
,John Lujan III,,77,77.78%,8,1,68
,Kristian Carranza,,22,22.22%,0,2,20
BEXAR 4144,4144 BS 99,118,,,,,
,,,,,,,
,John Lujan III,,211,60.63%,19,11,181
,Kristian Carranza,,137,39.37%,17,15,105
BEXAR 4151,4151 BS 108,118,,,,,
,,,,,,,
,John Lujan III,,531,66.04%,83,12,436
,Kristian Carranza,,273,33.96%,51,12,210
BEXAR 4153,4153 BS 119,118,,,,,
,,,,,,,
,John Lujan III,,127,51.63%,29,2,96
,Kristian Carranza,,119,48.37%,25,2,92
BEXAR 4158,4158 BS 118,118,,,,,
,,,,,,,
,John Lujan III,,109,42.75%,29,10,70
,Kristian Carranza,,146,57.25%,20,9,117
BEXAR 4164,4164 BS 99,118,,,,,
,,,,,,,
,John Lujan III,,832,56.06%,109,37,686
,Kristian Carranza,,652,43.94%,78,68,506
BEXAR 4165,4165 BS 108,118,,,,,
,,,,,,,
,John Lujan III,,83,51.55%,17,1,65
,Kristian Carranza,,78,48.45%,15,3,60
BEXAR 4169,4169 BS 95,121,,,,,
,,,,,,,
,Marc LaHood,,99,47.60%,9,12,78
,Laurel Jordan Swift,,109,52.40%,17,13,79
BEXAR 4170,4170 BS 95,121,,,,,
,,,,,,,
,Marc LaHood,,108,51.18%,25,8,75
,Laurel Jordan Swift,,103,48.82%,24,7,72
BEXAR 4171,4171 BS 128,118,,,,,
,,,,,,,
,John Lujan III,,454,47.39%,105,8,341
,Kristian Carranza,,504,52.61%,90,22,392
BEXAR 4172,4172 BS 128,118,,,,,
,,,,,,,
,John Lujan III,,383,48.24%,82,15,286
,Kristian Carranza,,411,51.76%,88,24,299
